Frame Number,POSIX Timestamp,Num Detected Objects,Detected Objects
996,1731187724.908914,3,"[-1.1640983819961548, 37.230560302734375, -0.42229384183883667, -0.24811427295207977, 14.300000190734863], [-1.1679151058197021, 37.343326568603516, -0.9350763559341431, -0.24811427295207977, 15.399999618530273], [-1.1717318296432495, 37.47487258911133, -0.4091649651527405, -0.24811427295207977, 14.399999618530273]"
997,1731187724.958914,3,"[-1.1946321725845337, 38.19253921508789, -1.140358328819275, -0.24811427295207977, 13.399999618530273], [0.0, 38.33892822265625, 0.9364635944366455, -0.24811427295207977, 14.300000190734863], [0.0, 38.328739166259766, 3.3228116035461426, -0.24811427295207977, 13.399999618530273]"
998,1731187725.008914,10,"[0.0, 38.228179931640625, 0.06130136549472809, 0.0, 13.399999618530273], [-1.198448896408081, 38.32921600341797, 0.43042126297950745, 0.0, 13.300000190734863], [0.0, 37.10588455200195, -3.2865233421325684, -0.24811427295207977, 13.199999809265137], [-1.1679151058197021, 37.13534927368164, -4.0452494621276855, -0.24811427295207977, 13.0], [0.0, 37.94974899291992, -4.605874538421631, -0.24811427295207977, 14.600000381469727], [0.0, 38.194881439208984, -3.449857234954834, -0.24811427295207977, 14.5], [0.0, 38.46364212036133, -0.8254935145378113, -0.24811427295207977, 12.800000190734863], [0.0, 38.19809341430664, -1.5175997018814087, -0.12405713647603989, 14.600000381469727], [0.0, 38.34467315673828, -0.6607810854911804, -0.12405713647603989, 15.0], [0.0, 38.453277587890625, 1.216102123260498, -0.12405713647603989, 13.800000190734863]"
999,1731187725.058914,4,"[0.0, 37.12504196166992, 0.5429983735084534, -0.12405713647603989, 13.100000381469727], [0.0, 37.247314453125, 0.5345131754875183, -0.12405713647603989, 16.0], [0.0, 37.35397720336914, 1.2011537551879883, -0.12405713647603989, 16.200000762939453], [1.1717318296432495, 37.41438293457031, 2.167311668395996, -0.12405713647603989, 14.0]"
1000,1731187725.108914,4,"[0.0, 37.15610885620117, -2.6592795848846436, -0.24811427295207977, 14.199999809265137], [0.0, 37.239479064941406, -3.1596591472625732, -0.24811427295207977, 13.699999809265137], [0.0, 37.25101852416992, -0.09860403835773468, -0.12405713647603989, 13.399999618530273], [-1.1679151058197021, 37.34249496459961, -0.9677350521087646, -0.12405713647603989, 13.199999809265137]"
1001,1731187725.158914,8,"[-1.1640983819961548, 37.21656799316406, 1.1045665740966797, 0.0, 14.399999618530273], [0.0, 37.23271942138672, -1.1716904640197754, -0.24811427295207977, 15.600000381469727], [-1.1679151058197021, 37.32917785644531, -1.3895761966705322, -0.24811427295207977, 16.100000381469727], [0.0, 37.48756790161133, -0.7672067880630493, -0.24811427295207977, 14.399999618530273], [-1.1602816581726074, 37.10910415649414, -0.3627031445503235, -0.12405713647603989, 14.800000190734863], [-1.1640983819961548, 37.2315673828125, -0.3213386833667755, -0.12405713647603989, 17.299999237060547], [0.0, 37.366817474365234, 0.6952665448188782, -0.12405713647603989, 17.700000762939453], [-1.1717318296432495, 37.469913482666016, 0.7341915965080261, -0.12405713647603989, 15.699999809265137]"
1002,1731187725.208914,4,"[0.0, 38.223670959472656, -0.590448796749115, -0.24811427295207977, 14.0], [0.0, 38.339988708496094, -0.8921265602111816, -0.24811427295207977, 13.600000381469727], [0.0, 37.3729362487793, 0.16118641197681427, -0.12405713647603989, 13.100000381469727], [-1.1946321725845337, 38.206905364990234, 0.45025283098220825, -0.12405713647603989, 13.100000381469727]"
1003,1731187725.258914,5,"[0.0, 37.226505279541016, -1.3547601699829102, -0.24811427295207977, 14.800000190734863], [0.0, 37.372928619384766, -0.16295261681079865, -0.24811427295207977, 14.5], [-1.1946321725845337, 38.207794189453125, -0.36741113662719727, -0.24811427295207977, 12.699999809265137], [0.0, 37.216129302978516, 1.614845871925354, -0.12405713647603989, 14.199999809265137], [-1.1679151058197021, 37.319149017333984, 1.6368757486343384, -0.12405713647603989, 14.0]"
1004,1731187725.308914,7,"[0.0, 37.10685348510742, 1.2825634479522705, -0.24811427295207977, 13.100000381469727], [-1.1640983819961548, 37.220157623291016, 0.9760657548904419, -0.24811427295207977, 16.200000762939453], [0.0, 37.29603576660156, 2.4016776084899902, -0.24811427295207977, 16.5], [0.0, 37.299747467041016, 3.825598955154419, -0.24811427295207977, 13.899999618530273], [-1.1602816581726074, 37.06392288208008, 1.8662630319595337, -0.12405713647603989, 14.600000381469727], [0.0, 37.125465393066406, 3.0574278831481934, -0.12405713647603989, 16.799999237060547], [-1.1679151058197021, 37.2492561340332, 2.8091423511505127, -0.12405713647603989, 16.200000762939453]"
1005,1731187725.358914,6,"[0.0, 37.12385177612305, -0.619131326675415, -0.24811427295207977, 13.899999618530273], [0.0, 37.249629974365234, -0.336473673582077, -0.24811427295207977, 15.800000190734863], [0.0, 37.36774826049805, 0.6432636976242065, -0.24811427295207977, 15.399999618530273], [-1.1602816581726074, 37.08127212524414, 1.4820557832717896, -0.12405713647603989, 14.0], [0.0, 37.098243713378906, 3.371690034866333, -0.12405713647603989, 15.600000381469727], [0.0, 37.18475341796875, 3.7492005825042725, -0.12405713647603989, 15.0]"
