Frame Number,POSIX Timestamp,Num Detected Objects,Detected Objects
903,1731187720.258914,3,"[-1.1946321725845337, 37.93723678588867, -4.5537261962890625, -0.12405713647603989, 14.600000381469727], [-1.198448896408081, 38.16460037231445, -3.57458233833313, -0.12405713647603989, 15.0], [-1.2022656202316284, 38.37383270263672, -2.477238655090332, -0.12405713647603989, 13.600000381469727]"
904,1731187720.308914,0,[]
905,1731187720.358914,2,"[0.0, 39.05249786376953, -1.5481339693069458, -0.24811427295207977, 13.100000381469727], [0.0, 39.19442367553711, -0.9238172769546509, -0.24811427295207977, 13.699999809265137]"
906,1731187720.408914,0,[]
907,1731187720.458914,0,[]
908,1731187720.508914,5,"[0.0, 38.89201736450195, -3.860720634460449, -0.37217140197753906, 13.399999618530273], [1.225165843963623, 39.00986099243164, -3.7129383087158203, -0.37217140197753906, 13.0], [-1.1908154487609863, 38.032100677490234, -2.053175449371338, -0.24811427295207977, 14.600000381469727], [-2.3892643451690674, 38.09577178955078, -2.0979185104370117, -0.24811427295207977, 15.699999809265137], [-2.396897792816162, 38.24990463256836, -1.3965080976486206, -0.24811427295207977, 14.399999618530273]"
909,1731187720.558914,0,[]
910,1731187720.608914,9,"[0.0, 37.883209228515625, -4.1154656410217285, -0.24811427295207977, 13.899999618530273], [0.0, 38.085609436035156, -3.299072504043579, -0.24811427295207977, 15.300000190734863], [0.0, 38.25170135498047, -2.7491424083709717, -0.24811427295207977, 14.100000381469727], [0.0, 38.918548583984375, -1.8190292119979858, -0.24811427295207977, 12.800000190734863], [-1.2213491201400757, 39.01074981689453, -2.0405688285827637, -0.24811427295207977, 14.199999809265137], [0.0, 39.19231414794922, -1.009321689605713, -0.24811427295207977, 13.300000190734863], [0.0, 37.9288444519043, -3.671126127243042, -0.12405713647603989, 14.600000381469727], [0.0, 38.104469299316406, -3.073591470718384, -0.12405713647603989, 16.0], [0.0, 38.29859161376953, -1.9920893907546997, -0.12405713647603989, 14.899999618530273]"
911,1731187720.658914,0,[]
912,1731187720.708914,1,"[0.0, 38.87014389038086, -4.075085163116455, -0.24811427295207977, 13.600000381469727]"
913,1731187720.758914,6,"[0.0, 38.63539123535156, -5.026834011077881, -0.24811427295207977, 13.300000190734863], [0.0, 38.67164611816406, -5.656686305999756, -0.24811427295207977, 12.800000190734863], [0.0, 38.838558197021484, -0.164055734872818, -0.12405713647603989, 15.199999809265137], [0.0, 38.94148254394531, -1.2341582775115967, -0.12405713647603989, 16.799999237060547], [0.0, 39.05226516723633, -1.5540075302124023, -0.12405713647603989, 16.100000381469727], [0.0, 39.17639923095703, -1.5053154230117798, -0.12405713647603989, 12.800000190734863]"
914,1731187720.808914,0,[]
915,1731187720.858914,0,[]
916,1731187720.908914,0,[]
917,1731187720.958914,0,[]
918,1731187721.008914,0,[]
919,1731187721.058914,0,[]
920,1731187721.108914,1,"[-1.2213491201400757, 38.990821838378906, -2.3913519382476807, -0.24811427295207977, 12.800000190734863]"
921,1731187721.158914,0,[]
922,1731187721.208914,0,[]
923,1731187721.258914,0,[]
924,1731187721.308914,0,[]
925,1731187721.358914,3,"[0.0, 38.0157356262207, -2.6226441860198975, -0.24811427295207977, 14.199999809265137], [-1.1946321725845337, 38.19626235961914, -1.0079838037490845, -0.24811427295207977, 14.5], [0.0, 38.2851676940918, 2.2352888584136963, -0.24811427295207977, 12.800000190734863]"
926,1731187721.408914,5,"[0.0, 38.41664123535156, -4.811429977416992, -0.24811427295207977, 12.899999618530273], [0.0, 38.6436767578125, -3.88934588432312, -0.24811427295207977, 15.0], [-1.2175323963165283, 38.72242736816406, -4.12959098815918, -0.24811427295207977, 15.199999809265137], [0.0, 38.877655029296875, -4.0027570724487305, -0.24811427295207977, 13.699999809265137], [-1.2137157917022705, 38.76974105834961, -1.9734644889831543, -0.12405713647603989, 13.0]"
927,1731187721.458914,2,"[0.0, 37.894893646240234, -2.5996739864349365, -0.24811427295207977, 14.5], [0.0, 38.03971862792969, -2.2481865882873535, -0.24811427295207977, 14.5]"
928,1731187721.508914,5,"[-1.2098990678787231, 38.60094451904297, -2.7370824813842773, -0.24811427295207977, 13.399999618530273], [0.0, 38.81718063354492, -1.2989134788513184, -0.24811427295207977, 15.0], [-1.2175323963165283, 38.857540130615234, -2.563488245010376, -0.24811427295207977, 14.600000381469727], [-1.2137157917022705, 38.8186149597168, -0.3200586140155792, -0.12405713647603989, 13.699999809265137], [-1.2175323963165283, 38.93848419189453, -0.5239381194114685, -0.12405713647603989, 13.0]"
929,1731187721.558914,0,[]
930,1731187721.608914,5,"[-1.2098990678787231, 38.5298957824707, -3.601607084274292, -0.24811427295207977, 13.300000190734863], [0.0, 38.78076934814453, -2.12426495552063, -0.24811427295207977, 14.5], [0.0, 38.93968200683594, -1.2897814512252808, -0.24811427295207977, 13.600000381469727], [0.0, 38.833946228027344, 0.6206835508346558, -0.12405713647603989, 14.199999809265137], [0.0, 38.94540786743164, 1.1034530401229858, -0.12405713647603989, 13.399999618530273]"
931,1731187721.658914,0,[]
932,1731187721.708914,0,[]
933,1731187721.758914,2,"[-1.186998724937439, 37.92481231689453, -1.7551944255828857, -0.12405713647603989, 13.600000381469727], [-1.1908154487609863, 38.06837844848633, -1.206250548362732, -0.12405713647603989, 13.699999809265137]"
934,1731187721.808914,0,[]
935,1731187721.858914,0,[]
936,1731187721.908914,3,"[-1.2137157917022705, 38.75179672241211, -2.2990684509277344, -0.24811427295207977, 13.800000190734863], [-1.2175323963165283, 38.878456115722656, -2.2238643169403076, -0.24811427295207977, 13.600000381469727], [-2.427431583404541, 38.726776123046875, -1.6747684478759766, -0.12405713647603989, 13.5]"
937,1731187721.958914,1,"[0.0, 37.84964370727539, -3.191498041152954, -0.24811427295207977, 12.699999809265137]"
938,1731187722.008914,0,[]
939,1731187722.058914,0,[]
940,1731187722.108914,4,"[-1.186998724937439, 37.88518142700195, -2.466796875, -0.24811427295207977, 14.399999618530273], [0.0, 38.05872344970703, -1.8995097875595093, -0.24811427295207977, 13.800000190734863], [0.0, 37.980953216552734, -0.4779130220413208, -0.12405713647603989, 14.100000381469727], [0.0, 38.10609436035156, 0.0, -0.12405713647603989, 13.100000381469727]"
941,1731187722.158914,0,[]
942,1731187722.208914,0,[]
943,1731187722.258914,2,"[-1.1831820011138916, 37.84146499633789, -0.37602633237838745, -0.12405713647603989, 15.399999618530273], [-1.186998724937439, 37.96427917480469, -0.2926328480243683, -0.12405713647603989, 14.399999618530273]"
944,1731187722.308914,0,[]
945,1731187722.358914,0,[]
946,1731187722.408914,4,"[0.0, 37.86162567138672, 0.12297321110963821, -0.24811427295207977, 14.300000190734863], [0.0, 37.97998809814453, 0.5491978526115417, -0.24811427295207977, 13.199999809265137], [0.0, 37.860740661621094, 0.2866203784942627, -0.12405713647603989, 14.899999618530273], [-1.186998724937439, 37.9619255065918, 0.5140792727470398, -0.12405713647603989, 14.199999809265137]"
947,1731187722.458914,0,[]
948,1731187722.508914,3,"[0.0, 38.51282501220703, -2.5116357803344727, -0.24811427295207977, 12.899999618530273], [0.0, 38.66716384887695, -1.9593124389648438, -0.24811427295207977, 14.100000381469727], [0.0, 38.690250396728516, 1.4328004121780396, -0.12405713647603989, 12.899999618530273]"
949,1731187722.558914,0,[]
950,1731187722.608914,0,[]
951,1731187722.658914,0,[]
952,1731187722.708914,4,"[0.0, 37.7312126159668, -0.7996777296066284, -0.24811427295207977, 13.899999618530273], [0.0, 37.86178207397461, -0.05715577304363251, -0.24811427295207977, 14.5], [0.0, 38.50865173339844, -2.5748071670532227, -0.24811427295207977, 12.800000190734863], [0.0, 38.57187271118164, -3.3464772701263428, -0.24811427295207977, 13.600000381469727]"
953,1731187722.758914,3,"[0.0, 37.595821380615234, -3.2921533584594727, -0.24811427295207977, 14.800000190734863], [0.0, 37.837215423583984, -1.3649024963378906, -0.24811427295207977, 15.100000381469727], [0.0, 37.982078552246094, 0.3777105212211609, -0.24811427295207977, 13.100000381469727]"
954,1731187722.808914,5,"[0.0, 37.403778076171875, -5.0240936279296875, -0.24811427295207977, 13.600000381469727], [0.0, 37.67195129394531, -3.787057876586914, -0.24811427295207977, 13.899999618530273], [0.0, 37.672462463378906, -2.251570224761963, -0.12405713647603989, 15.100000381469727], [0.0, 37.817054748535156, -1.8406867980957031, -0.12405713647603989, 15.699999809265137], [0.0, 37.96577072143555, -1.175297737121582, -0.12405713647603989, 13.800000190734863]"
955,1731187722.858914,1,"[-1.1831820011138916, 37.842689514160156, -0.22050224244594574, -0.24811427295207977, 13.699999809265137]"
956,1731187722.908914,0,[]
957,1731187722.958914,0,[]
958,1731187723.008914,6,"[0.0, 37.38636016845703, -4.164175510406494, -0.24811427295207977, 13.600000381469727], [0.0, 37.53837585449219, -3.8928630352020264, -0.24811427295207977, 15.0], [0.0, 37.67195129394531, -3.787057876586914, -0.24811427295207977, 14.100000381469727], [0.0, 37.527992248535156, -2.5942232608795166, -0.12405713647603989, 13.899999618530273], [-1.1793652772903442, 37.64809799194336, -2.348137140274048, -0.12405713647603989, 15.399999618530273], [0.0, 37.824153900146484, -1.6884769201278687, -0.12405713647603989, 14.399999618530273]"
959,1731187723.058914,0,[]
960,1731187723.108914,0,[]
961,1731187723.158914,7,"[0.0, 37.583152770996094, -1.6083701848983765, -0.24811427295207977, 16.799999237060547], [0.0, 37.70262908935547, -1.6720861196517944, -0.24811427295207977, 17.5], [0.0, 37.81611251831055, -1.8599762916564941, -0.24811427295207977, 15.5], [0.0, 37.486968994140625, -0.7960355281829834, -0.12405713647603989, 14.199999809265137], [0.0, 37.61316680908203, -0.5745126008987427, -0.12405713647603989, 17.299999237060547], [-1.1793652772903442, 37.71044921875, -0.9029200673103333, -0.12405713647603989, 17.799999237060547], [0.0, 37.86117935180664, -0.22080521285533905, -0.12405713647603989, 15.699999809265137]"
962,1731187723.208914,0,[]
963,1731187723.258914,5,"[-1.1793652772903442, 37.69071578979492, -1.5176434516906738, -0.24811427295207977, 13.399999618530273], [0.0, 38.47248077392578, 0.03912503272294998, -0.24811427295207977, 13.0], [-1.2060823440551758, 38.5737419128418, 0.39722058176994324, -0.24811427295207977, 13.300000190734863], [0.0, 38.46324920654297, 0.843637228012085, -0.12405713647603989, 12.899999618530273], [0.0, 38.58269119262695, 0.9601229429244995, -0.12405713647603989, 13.199999809265137]"
964,1731187723.308914,0,[]
965,1731187723.358914,0,[]
966,1731187723.408914,0,[]
967,1731187723.458914,0,[]
968,1731187723.508914,3,"[0.0, 38.4632568359375, -0.8432287573814392, -0.24811427295207977, 12.800000190734863], [0.0, 38.59210968017578, -0.4414295256137848, -0.24811427295207977, 14.399999618530273], [-1.2098990678787231, 38.69784164428711, -0.03581986948847771, -0.24811427295207977, 13.699999809265137]"
969,1731187723.558914,1,"[0.0, 37.6076774597168, -0.8620201945304871, -0.24811427295207977, 14.300000190734863]"
970,1731187723.608914,4,"[0.0, 37.5354118347168, -2.484567880630493, -0.24811427295207977, 15.5], [-1.1717318296432495, 37.45298385620117, -1.3443666696548462, -0.12405713647603989, 13.399999618530273], [0.0, 37.6138916015625, 0.524840772151947, -0.12405713647603989, 14.800000190734863], [0.0, 37.64128112792969, 2.7236239910125732, -0.12405713647603989, 13.899999618530273]"
971,1731187723.658914,0,[]
972,1731187723.708914,0,[]
973,1731187723.758914,0,[]
974,1731187723.808914,2,"[0.0, 38.34843444824219, -0.38490942120552063, -0.24811427295207977, 13.0], [0.0, 38.46512222290039, 0.7534157633781433, -0.24811427295207977, 14.100000381469727]"
975,1731187723.858914,6,"[0.0, 37.48308563232422, -0.9616224765777588, -0.24811427295207977, 14.300000190734863], [0.0, 37.60991668701172, -0.7580128312110901, -0.24811427295207977, 15.399999618530273], [0.0, 37.726627349853516, -0.9927431344985962, -0.24811427295207977, 14.100000381469727], [-1.2022656202316284, 38.44756317138672, 0.6875407695770264, -0.24811427295207977, 13.0], [-2.343463659286499, 37.39719772338867, -1.3653756380081177, -0.12405713647603989, 14.600000381469727], [-1.1755485534667969, 37.58504867553711, -1.0307769775390625, -0.12405713647603989, 16.200000762939453]"
976,1731187723.908914,0,[]
977,1731187723.958914,2,"[-1.1717318296432495, 37.3350715637207, -3.2597484588623047, -0.24811427295207977, 15.100000381469727], [0.0, 37.51816177368164, -2.7327487468719482, -0.24811427295207977, 16.0]"
978,1731187724.008914,2,"[0.0, 38.33237838745117, -1.1744385957717896, -0.24811427295207977, 12.899999618530273], [0.0, 38.468753814697266, -0.5370013117790222, -0.24811427295207977, 13.100000381469727]"
979,1731187724.058914,0,[]
980,1731187724.108914,0,[]
981,1731187724.158914,3,"[0.0, 37.49176788330078, 0.5232715606689453, -0.24811427295207977, 14.300000190734863], [0.0, 37.613006591796875, 0.5848236083984375, -0.24811427295207977, 13.899999618530273], [-1.2022656202316284, 38.45271301269531, 0.2771747410297394, -0.12405713647603989, 13.199999809265137]"
982,1731187724.208914,5,"[0.0, 37.36313247680664, -0.8709984421730042, -0.24811427295207977, 14.300000190734863], [0.0, 37.49530792236328, 0.09090808033943176, -0.24811427295207977, 16.0], [0.0, 37.61281204223633, 0.5971392393112183, -0.24811427295207977, 15.199999809265137], [0.0, 37.45844650268555, 1.6647123098373413, -0.12405713647603989, 13.800000190734863], [-1.1755485534667969, 37.539276123046875, 2.121537685394287, -0.12405713647603989, 13.199999809265137]"
983,1731187724.258914,5,"[0.0, 37.41097640991211, -2.51499080657959, -0.37217140197753906, 14.399999618530273], [0.0, 37.14974594116211, -2.74672269821167, -0.24811427295207977, 13.100000381469727], [-1.1679151058197021, 37.258628845214844, -2.681986093521118, -0.24811427295207977, 16.899999618530273], [0.0, 37.47123336791992, -1.3465369939804077, -0.24811427295207977, 17.799999237060547], [0.0, 37.60960388183594, -0.7732998132705688, -0.24811427295207977, 16.200000762939453]"
984,1731187724.308914,1,"[0.0, 37.495094299316406, -0.15600630640983582, -0.24811427295207977, 13.399999618530273]"
985,1731187724.358914,2,"[0.0, 37.3384895324707, -1.6122764348983765, -0.24811427295207977, 14.199999809265137], [0.0, 37.47760009765625, -1.1557892560958862, -0.24811427295207977, 14.100000381469727]"
986,1731187724.408914,5,"[0.0, 37.35245132446289, -1.2476459741592407, -0.24811427295207977, 14.300000190734863], [-1.1717318296432495, 37.45747756958008, -1.2127482891082764, -0.24811427295207977, 15.899999618530273], [-1.1755485534667969, 37.599178314208984, 0.016898352652788162, -0.24811427295207977, 15.100000381469727], [-1.1717318296432495, 37.452850341796875, 1.3481186628341675, -0.12405713647603989, 14.899999618530273], [-2.3510971069335938, 37.464229583740234, 2.446281671524048, -0.12405713647603989, 14.899999618530273]"
987,1731187724.458914,0,[]
988,1731187724.508914,0,[]
989,1731187724.558914,2,"[-2.3510971069335938, 37.54271697998047, 0.31145578622817993, -0.24811427295207977, 14.5], [-2.3587305545806885, 37.66549301147461, -0.1762293577194214, -0.24811427295207977, 13.899999618530273]"
990,1731187724.608914,1,"[0.0, 37.34800720214844, -3.321551561355591, -0.24811427295207977, 13.100000381469727]"
991,1731187724.658914,2,"[0.0, 37.37269592285156, 0.21002495288848877, -0.24811427295207977, 14.899999618530273], [0.0, 37.495208740234375, 0.1250213086605072, -0.24811427295207977, 15.100000381469727]"
992,1731187724.708914,8,"[-1.1908154487609863, 38.0811882019043, 0.6923926472663879, -0.24811427295207977, 13.5], [0.0, 38.21632385253906, 0.9541136622428894, -0.24811427295207977, 16.0], [0.0, 38.338356018066406, 0.959663987159729, -0.24811427295207977, 16.299999237060547], [0.0, 38.460426330566406, 0.9637607932090759, -0.24811427295207977, 14.199999809265137], [-1.1908154487609863, 37.93751907348633, 3.3765416145324707, -0.12405713647603989, 12.699999809265137], [-1.1946321725845337, 38.097042083740234, 2.9301867485046387, -0.12405713647603989, 14.399999618530273], [-1.198448896408081, 38.20304489135742, 3.137143850326538, -0.12405713647603989, 14.600000381469727], [-1.2022656202316284, 38.29436111450195, 3.497128486633301, -0.12405713647603989, 12.800000190734863]"
993,1731187724.758914,0,[]
994,1731187724.808914,0,[]
995,1731187724.858914,0,[]
996,1731187724.908914,3,"[-1.1640983819961548, 37.230560302734375, -0.42229384183883667, -0.24811427295207977, 14.300000190734863], [-1.1679151058197021, 37.343326568603516, -0.9350763559341431, -0.24811427295207977, 15.399999618530273], [-1.1717318296432495, 37.47487258911133, -0.4091649651527405, -0.24811427295207977, 14.399999618530273]"
997,1731187724.958914,3,"[-1.1946321725845337, 38.19253921508789, -1.140358328819275, -0.24811427295207977, 13.399999618530273], [0.0, 38.33892822265625, 0.9364635944366455, -0.24811427295207977, 14.300000190734863], [0.0, 38.328739166259766, 3.3228116035461426, -0.24811427295207977, 13.399999618530273]"
998,1731187725.008914,10,"[0.0, 38.228179931640625, 0.06130136549472809, 0.0, 13.399999618530273], [-1.198448896408081, 38.32921600341797, 0.43042126297950745, 0.0, 13.300000190734863], [0.0, 37.10588455200195, -3.2865233421325684, -0.24811427295207977, 13.199999809265137], [-1.1679151058197021, 37.13534927368164, -4.0452494621276855, -0.24811427295207977, 13.0], [0.0, 37.94974899291992, -4.605874538421631, -0.24811427295207977, 14.600000381469727], [0.0, 38.194881439208984, -3.449857234954834, -0.24811427295207977, 14.5], [0.0, 38.46364212036133, -0.8254935145378113, -0.24811427295207977, 12.800000190734863], [0.0, 38.19809341430664, -1.5175997018814087, -0.12405713647603989, 14.600000381469727], [0.0, 38.34467315673828, -0.6607810854911804, -0.12405713647603989, 15.0], [0.0, 38.453277587890625, 1.216102123260498, -0.12405713647603989, 13.800000190734863]"
999,1731187725.058914,4,"[0.0, 37.12504196166992, 0.5429983735084534, -0.12405713647603989, 13.100000381469727], [0.0, 37.247314453125, 0.5345131754875183, -0.12405713647603989, 16.0], [0.0, 37.35397720336914, 1.2011537551879883, -0.12405713647603989, 16.200000762939453], [1.1717318296432495, 37.41438293457031, 2.167311668395996, -0.12405713647603989, 14.0]"
1000,1731187725.108914,4,"[0.0, 37.15610885620117, -2.6592795848846436, -0.24811427295207977, 14.199999809265137], [0.0, 37.239479064941406, -3.1596591472625732, -0.24811427295207977, 13.699999809265137], [0.0, 37.25101852416992, -0.09860403835773468, -0.12405713647603989, 13.399999618530273], [-1.1679151058197021, 37.34249496459961, -0.9677350521087646, -0.12405713647603989, 13.199999809265137]"
1001,1731187725.158914,8,"[-1.1640983819961548, 37.21656799316406, 1.1045665740966797, 0.0, 14.399999618530273], [0.0, 37.23271942138672, -1.1716904640197754, -0.24811427295207977, 15.600000381469727], [-1.1679151058197021, 37.32917785644531, -1.3895761966705322, -0.24811427295207977, 16.100000381469727], [0.0, 37.48756790161133, -0.7672067880630493, -0.24811427295207977, 14.399999618530273], [-1.1602816581726074, 37.10910415649414, -0.3627031445503235, -0.12405713647603989, 14.800000190734863], [-1.1640983819961548, 37.2315673828125, -0.3213386833667755, -0.12405713647603989, 17.299999237060547], [0.0, 37.366817474365234, 0.6952665448188782, -0.12405713647603989, 17.700000762939453], [-1.1717318296432495, 37.469913482666016, 0.7341915965080261, -0.12405713647603989, 15.699999809265137]"
1002,1731187725.208914,4,"[0.0, 38.223670959472656, -0.590448796749115, -0.24811427295207977, 14.0], [0.0, 38.339988708496094, -0.8921265602111816, -0.24811427295207977, 13.600000381469727], [0.0, 37.3729362487793, 0.16118641197681427, -0.12405713647603989, 13.100000381469727], [-1.1946321725845337, 38.206905364990234, 0.45025283098220825, -0.12405713647603989, 13.100000381469727]"
