Frame Number;POSIX Timestamp;Detected Objects;Latitude;Longitude
5297;1.738.595.753.588.430;"[0.0, 32.67930221557617, -8.753565788269043, -0.6997247338294983, 15.8]";36620953;27846188
5296;1.738.595.753.538.430;[];36620953;27846188
5295;1.738.595.753.488.430;[];36620953;27846188
5294;1.738.595.753.438.430;[];36620953;27846188
5298;1.738.595.753.638.430;[];36620953;27846188
5299;1.738.595.753.688.430;[];36620953;27846188
5300;1.738.595.753.738.430;[];36620953;27846188
5301;1.738.595.753.788.430;[];36620953;27846188
5305;1.738.595.753.988.430;[];36620953;27846188
5304;1.738.595.753.938.430;[];36620953;27846188
5303;1.738.595.753.888.430;[];36620953;27846188
5302;1.738.595.753.838.430;[];36620953;27846188
5309;1.738.595.754.188.430;[];36620953;27846193
5308;1.738.595.754.138.430;[];36620953;27846193
5307;1.738.595.754.088.430;[];36620953;27846193
5306;1.738.595.754.038.430;"[0.0, 32.302467346191406, -9.200209617614746, -0.6997247338294983, 14.0]";36620953;27846193
5314;1.738.595.754.438.430;[];36620953;27846193
5315;1.738.595.754.488.430;[];36620953;27846193
5316;1.738.595.754.538.430;[];36620953;27846193
5317;1.738.595.754.588.430;[];36620953;27846193
5321;1.738.595.754.788.430;[];36620953;27846193
5320;1.738.595.754.738.430;[];36620953;27846193
5319;1.738.595.754.688.430;[];36620953;27846193
5318;1.738.595.754.638.430;[];36620953;27846193
5322;1.738.595.754.838.430;[];36620953;27846193
5323;1.738.595.754.888.430;[];36620953;27846193
5324;1.738.595.754.938.430;"[0.0, 31.436613082885742, -9.959126472473145, -0.5997640490531921, 13.200000000000001]";36620953;27846193
5325;1.738.595.754.988.430;[];36620953;27846193
5310;1.738.595.754.238.430;[];36620953;27846193
5311;1.738.595.754.288.430;[];36620953;27846193
5312;1.738.595.754.338.430;[];36620953;27846193
5313;1.738.595.754.388.430;[];36620953;27846193
5329;1.738.595.755.188.430;[];36620953;27846193
5328;1.738.595.755.138.430;[];36620953;27846193
5327;1.738.595.755.088.430;[];36620953;27846193
5326;1.738.595.755.038.430;[];36620953;27846193
5333;1.738.595.755.388.430;[];36620953;27846193
5332;1.738.595.755.338.430;[];36620953;27846193
5331;1.738.595.755.288.430;[];36620953;27846193
5330;1.738.595.755.238.430;[];36620953;27846193
5345;1.738.595.755.988.430;"[-1.0419634580612183, 32.17234802246094, -8.694748878479004, -0.6997247338294983, 13.100000000000001]";36620953;27846193
5344;1.738.595.755.938.430;[];36620953;27846193
5343;1.738.595.755.888.430;[];36620953;27846193
5342;1.738.595.755.838.430;[];36620953;27846193
5341;1.738.595.755.788.430;[];36620953;27846193
5340;1.738.595.755.738.430;[];36620953;27846193
5339;1.738.595.755.688.430;[];36620953;27846193
5338;1.738.595.755.638.430;[];36620953;27846193
5337;1.738.595.755.588.430;[];36620953;27846193
5336;1.738.595.755.538.430;[];36620953;27846193
5335;1.738.595.755.488.430;[];36620953;27846193
5334;1.738.595.755.438.430;[];36620953;27846193
5349;1.738.595.756.188.430;"[2.076293468475342, 32.69416809082031, -5.513156414031982, -0.5997640490531921, 12.600000000000001]";36620949;27846205
5348;1.738.595.756.138.430;[];36620949;27846205
5347;1.738.595.756.088.430;[];36620949;27846205
5346;1.738.595.756.038.430;[];36620949;27846205
5361;1.738.595.756.788.430;[];36620949;27846205
5360;1.738.595.756.738.430;[];36620949;27846205
5359;1.738.595.756.688.430;[];36620949;27846205
5358;1.738.595.756.638.430;[];36620949;27846205
5357;1.738.595.756.588.430;[];36620949;27846205
5356;1.738.595.756.538.430;[];36620949;27846205
