Frame Number,POSIX Timestamp,Detected Objects,Latitude,Longitude
6594,1739322524.4094,"[-3.2890625, 20.7265625, -1.515625, 0.13, 16.812412373755873]",36899345,27290911
6593,1739322524.3594,"[-3.328125, 20.921875, -2.09375, -0.13, 17.92391689498254]",36899345,27290911
6592,1739322524.3094,[],36899345,27290911
6591,1739322524.2594,[],36899345,27290911
6590,1739322524.2094,[],36899345,27290911
6589,1739322524.1594,[],36899345,27290911
6588,1739322524.1094,[],36899345,27290911
6587,1739322524.0594,"[-3.25, 19.8203125, -5.3984375, 0.0, 16.232492903979004], [-3.2890625, 20.0625, -5.4296875, 0.0, 17.781512503836435], [-3.2890625, 20.0078125, -5.640625, -0.13, 16.720978579357176]",36899345,27290911
6586,1739322524.0094,[],36899345,27290911
6622,1739322525.8094,"[-3.2890625, 20.015625, -5.59375, -0.26, 15.910646070264992], [-3.1328125, 18.6171875, -6.7890625, -0.13, 16.02059991327962]",36899345,27290911
6623,1739322525.8594,"[-3.765625, 19.1015625, -4.8671875, 0.0, 17.16003343634799], [-2.6015625, 20.515625, -2.2109375, -0.26, 15.797835966168101], [-2.6328125, 20.75, -2.3203125, -0.26, 17.24275869600789], [-2.6640625, 20.9375, -2.7578125, -0.26, 16.334684555795864], [-3.1328125, 19.1328125, -5.15625, -0.13, 15.797835966168101], [-3.2890625, 20.7421875, -1.2734375, -0.13, 16.989700043360187]",36899345,27290911
6624,1739322525.9094,[],36899345,27290911
6625,1739322525.9594,[],36899345,27290911
6617,1739322525.5594,[],36899345,27290911
6616,1739322525.5094,"[-3.8984375, 20.296875, -2.328125, -0.26, 15.68201724066995], [-3.9453125, 20.578125, -1.96875, -0.26, 16.334684555795864], [-3.25, 20.5, -1.3203125, -0.13, 16.62757831681574], [-3.9453125, 20.5859375, -1.84375, -0.13, 16.901960800285135]",36899345,27290911
6615,1739322525.4594,"[-3.8984375, 20.296875, -2.328125, -0.26, 15.68201724066995], [-3.9453125, 20.578125, -1.96875, -0.26, 16.334684555795864], [-3.25, 20.5, -1.3203125, -0.13, 16.62757831681574], [-3.9453125, 20.5859375, -1.84375, -0.13, 16.901960800285135]",36899345,27290911
6614,1739322525.4094,[],36899345,27290911
6613,1739322525.3594,[],36899345,27290911
6612,1739322525.3094,[],36899345,27290911
6611,1739322525.2594,[],36899345,27290911
6610,1739322525.2094,[],36899345,27290911
6609,1739322525.1594,[],36899345,27290911
6608,1739322525.1094,[],36899345,27290911
6607,1739322525.0594,[],36899345,27290911
6606,1739322525.0094,[],36899345,27290911
6621,1739322525.7594,"[-3.8984375, 18.5234375, -8.6171875, -0.26, 16.720978579357176], [-3.9453125, 19.5703125, -6.6640625, -0.26, 16.901960800285135], [-3.8984375, 18.609375, -8.421875, -0.13, 16.812412373755873]",36899345,27290911
6620,1739322525.7094,"[-3.8984375, 18.5234375, -8.6171875, -0.26, 16.720978579357176], [-3.9453125, 19.5703125, -6.6640625, -0.26, 16.901960800285135], [-3.8984375, 18.609375, -8.421875, -0.13, 16.812412373755873]",36899345,27290911
6619,1739322525.6594,[],36899345,27290911
6618,1739322525.6094,"[-2.6328125, 20.796875, -1.875, -0.13, 16.127838567197355]",36899345,27290911
6642,1739322526.8094,"[-3.8515625, 19.5625, -4.984375, 0.0, 18.260748027008265], [-3.8984375, 19.75, -5.234375, 0.0, 18.06179973983887], [-4.4921875, 19.7109375, -3.703125, 0.13, 15.440680443502757], [-4.546875, 19.9375, -3.78125, 0.13, 15.563025007672874], [-3.8515625, 19.046875, -6.6953125, -0.13, 15.68201724066995]",36899345,27290911
6643,1739322526.8594,"[-3.2109375, 19.8125, -4.4296875, 0.0, 16.334684555795864]",36899345,27290911
6644,1739322526.9094,"[-3.8984375, 19.859375, -4.8046875, 0.0, 16.02059991327962]",36899345,27290911
