Frame Number,POSIX Timestamp,Detected Objects,Latitude,Longitude
6594,"1,739,322,524,409,400","[-3.2890625, 20.7265625, -1.515625, 0.13, 16.812412373755873]","36,899,345","27,290,911"
6593,"1,739,322,524,359,400","[-3.328125, 20.921875, -2.09375, -0.13, 17.92391689498254]","36,899,345","27,290,911"
6592,"1,739,322,524,309,400",[],"36,899,345","27,290,911"
6591,"1,739,322,524,259,400",[],"36,899,345","27,290,911"
6590,"1,739,322,524,209,400",[],"36,899,345","27,290,911"
6589,"1,739,322,524,159,400",[],"36,899,345","27,290,911"
6588,"1,739,322,524,109,400",[],"36,899,345","27,290,911"
6587,"1,739,322,524,059,400","[-3.25, 19.8203125, -5.3984375, 0.0, 16.232492903979004], [-3.2890625, 20.0625, -5.4296875, 0.0, 17.781512503836435], [-3.2890625, 20.0078125, -5.640625, -0.13, 16.720978579357176]","36,899,345","27,290,911"
6586,"1,739,322,524,009,400",[],"36,899,345","27,290,911"
6622,"1,739,322,525,809,400","[-3.2890625, 20.015625, -5.59375, -0.26, 15.910646070264992], [-3.1328125, 18.6171875, -6.7890625, -0.13, 16.02059991327962]","36,899,345","27,290,911"
6623,"1,739,322,525,859,400","[-3.765625, 19.1015625, -4.8671875, 0.0, 17.16003343634799], [-2.6015625, 20.515625, -2.2109375, -0.26, 15.797835966168101], [-2.6328125, 20.75, -2.3203125, -0.26, 17.24275869600789], [-2.6640625, 20.9375, -2.7578125, -0.26, 16.334684555795864], [-3.1328125, 19.1328125, -5.15625, -0.13, 15.797835966168101], [-3.2890625, 20.7421875, -1.2734375, -0.13, 16.989700043360187]","36,899,345","27,290,911"
6624,"1,739,322,525,909,400",[],"36,899,345","27,290,911"
6625,"1,739,322,525,959,400",[],"36,899,345","27,290,911"
6617,"1,739,322,525,559,400",[],"36,899,345","27,290,911"
6616,"1,739,322,525,509,400","[-3.8984375, 20.296875, -2.328125, -0.26, 15.68201724066995], [-3.9453125, 20.578125, -1.96875, -0.26, 16.334684555795864], [-3.25, 20.5, -1.3203125, -0.13, 16.62757831681574], [-3.9453125, 20.5859375, -1.84375, -0.13, 16.901960800285135]","36,899,345","27,290,911"
6615,"1,739,322,525,459,400","[-3.8984375, 20.296875, -2.328125, -0.26, 15.68201724066995], [-3.9453125, 20.578125, -1.96875, -0.26, 16.334684555795864], [-3.25, 20.5, -1.3203125, -0.13, 16.62757831681574], [-3.9453125, 20.5859375, -1.84375, -0.13, 16.901960800285135]","36,899,345","27,290,911"
6614,"1,739,322,525,409,400",[],"36,899,345","27,290,911"
6613,"1,739,322,525,359,400",[],"36,899,345","27,290,911"
6612,"1,739,322,525,309,400",[],"36,899,345","27,290,911"
6611,"1,739,322,525,259,400",[],"36,899,345","27,290,911"
6610,"1,739,322,525,209,400",[],"36,899,345","27,290,911"
6609,"1,739,322,525,159,400",[],"36,899,345","27,290,911"
6608,"1,739,322,525,109,400",[],"36,899,345","27,290,911"
6607,"1,739,322,525,059,400",[],"36,899,345","27,290,911"
6606,"1,739,322,525,009,400",[],"36,899,345","27,290,911"
6621,"1,739,322,525,759,400","[-3.8984375, 18.5234375, -8.6171875, -0.26, 16.720978579357176], [-3.9453125, 19.5703125, -6.6640625, -0.26, 16.901960800285135], [-3.8984375, 18.609375, -8.421875, -0.13, 16.812412373755873]","36,899,345","27,290,911"
6620,"1,739,322,525,709,400","[-3.8984375, 18.5234375, -8.6171875, -0.26, 16.720978579357176], [-3.9453125, 19.5703125, -6.6640625, -0.26, 16.901960800285135], [-3.8984375, 18.609375, -8.421875, -0.13, 16.812412373755873]","36,899,345","27,290,911"
6619,"1,739,322,525,659,400",[],"36,899,345","27,290,911"
